commit,date,status,path,phase,change_type
b902a6978edf8fac4216ab0c8000b8f59c6b87e8,2026-05-05T11:13:21-04:00,M,pi/skills/workflow/templates/review-synthesis-template.md,workflow,source-history
f0d4648c116f2b561b9f0d6651862953564a998f,2026-05-05T11:13:20-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
04a74dc2ea5b4f7ce6c2cdf675cd9f235fdcc0e3,2026-05-05T00:45:39-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
b7896b3bdc37e0d48958d5bfebc81cb4fe16c782,2026-05-05T00:42:27-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
6a037c48ab89fbc700e2f901869fa5d6b1cd636a,2026-05-05T00:39:52-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
d5e9cbce6cedf6372ea938a436b255ad7e141e00,2026-05-05T00:34:54-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
3018189b7ed3c2b249d1746bc1ba29f3ea3fff0b,2026-05-04T19:26:27-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
8099aa957b0f7a1b5f2e60122b59cb8d28e7389f,2026-05-04T19:26:26-04:00,M,pi/skills/workflow/plan-it.md,workflow,source-history
f378617054418c2a5e0547e65cda102e355c6153,2026-05-04T18:16:47-04:00,A,pi/skills/pi-contributor-workflow/SKILL.md,workflow,source-history
02db22753dfebd8556835a3f270ca78d56191c86,2026-05-04T18:16:46-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
5f3d6d8ae5ef3f32f4b28d2fd92685339fbb278a,2026-05-04T15:32:24-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
e6ddb82678ec24abb7f90afcdd4a72b11fc3515d,2026-05-04T15:10:13-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
8b8ba89eba050f41338d040b096118594a225c99,2026-05-04T13:27:46-04:00,M,pi/skills/workflow/plan-it.md,workflow,source-history
4dc81db1a290d9b2d7de5a2714ad7dc5af85b8bc,2026-05-04T13:27:14-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
4dc81db1a290d9b2d7de5a2714ad7dc5af85b8bc,2026-05-04T13:27:14-04:00,M,pi/skills/workflow/do-it.md,workflow,source-history
4dc81db1a290d9b2d7de5a2714ad7dc5af85b8bc,2026-05-04T13:27:14-04:00,M,pi/skills/workflow/review-it.md,workflow,source-history
